Unnamed: 0,ts_code,trade_date,open,close,high,low,pre_close,vol
424,SPX,20210723,4381.2,4411.79,4415.18,4381.2,4367.48,1777379.0
425,SPX,20210722,4361.27,4367.48,4369.87,4350.06,4358.69,1843552.0
426,SPX,20210721,4331.13,4358.69,4359.7,4331.13,4323.06,2136774.0
427,SPX,20210720,4265.11,4323.06,4336.84,4262.05,4258.49,2426517.0
428,SPX,20210719,4296.4,4258.49,4296.4,4233.13,4327.16,2840163.0
429,SPX,20210716,4367.43,4327.16,4375.09,4322.53,4360.03,2027108.0
430,SPX,20210715,4369.02,4360.03,4369.02,4340.7,4374.3,1986589.0
431,SPX,20210714,4380.11,4374.3,4393.68,4362.36,4369.21,2019584.0
432,SPX,20210713,4381.07,4369.21,4392.37,4366.92,4384.63,1761860.0
433,SPX,20210712,4372.41,4384.63,4386.68,4364.03,4369.55,1709935.0
434,SPX,20210709,4329.38,4369.55,4371.6,4329.38,4320.82,1795028.0
435,SPX,20210708,4321.07,4320.82,4330.88,4289.37,4358.13,2059556.0
436,SPX,20210707,4351.01,4358.13,4361.88,4329.79,4343.54,1935638.0
437,SPX,20210706,4356.46,4343.54,4356.46,4314.37,4352.34,2055748.0
438,SPX,20210702,4326.6,4352.34,4355.43,4326.6,4319.94,1530898.0
439,SPX,20210701,4300.73,4319.94,4320.66,4300.73,4297.5,1820622.0
440,SPX,20210630,4290.65,4297.5,4302.43,4287.96,4291.8,1952342.0
441,SPX,20210629,4293.21,4291.8,4300.52,4287.04,4290.61,1833763.0
442,SPX,20210628,4284.9,4290.61,4292.14,4274.67,4280.7,1985885.0
443,SPX,20210625,4274.45,4280.7,4286.12,4271.16,4266.49,2749764.0
444,SPX,20210624,4256.97,4266.49,4271.28,4256.97,4241.84,1865796.0
445,SPX,20210623,4249.27,4241.84,4256.6,4241.43,4246.44,1774854.0
446,SPX,20210622,4224.61,4246.44,4255.84,4217.27,4224.79,1783455.0
447,SPX,20210621,4173.4,4224.79,4226.24,4173.4,4166.45,2043052.0
448,SPX,20210618,4204.78,4166.45,4204.78,4164.4,4221.86,3619216.0
449,SPX,20210617,4220.37,4221.86,4232.29,4196.05,4223.7,2580214.0
450,SPX,20210616,4248.87,4223.7,4251.89,4202.45,4246.59,2216469.0
451,SPX,20210615,4255.28,4246.59,4257.16,4238.35,4255.15,1826799.0
452,SPX,20210614,4248.31,4255.15,4255.59,4234.07,4247.44,1853004.0
453,SPX,20210611,4242.9,4247.44,4248.38,4232.25,4239.18,1685005.0
454,SPX,20210610,4228.56,4239.18,4249.74,4220.34,4219.55,1952650.0
455,SPX,20210609,4232.99,4219.55,4237.09,4218.74,4227.26,1801225.0
456,SPX,20210608,4233.81,4227.26,4236.74,4208.41,4226.52,2120874.0
457,SPX,20210607,4229.34,4226.52,4232.34,4215.66,4229.89,1744944.0
458,SPX,20210604,4206.05,4229.89,4233.45,4206.05,4192.85,1877134.0
459,SPX,20210603,4191.43,4192.85,4204.39,4167.93,4208.12,2211904.0
460,SPX,20210602,4206.82,4208.12,4217.37,4198.27,4202.04,2030572.0
461,SPX,20210601,4216.52,4202.04,4234.12,4197.59,4204.11,2099603.0
462,SPX,20210528,4210.77,4204.11,4218.36,4203.57,4200.88,1960313.0
463,SPX,20210527,4201.94,4200.88,4213.38,4197.78,4195.99,3394898.0
464,SPX,20210526,4191.59,4195.99,4202.61,4184.11,4188.13,2055015.0
465,SPX,20210525,4205.94,4188.13,4213.42,4182.52,4197.05,2109359.0
466,SPX,20210524,4170.16,4197.05,4209.52,4170.16,4155.86,1848072.0
467,SPX,20210521,4168.61,4155.86,4188.72,4151.72,4159.12,2192477.0
468,SPX,20210520,4121.97,4159.12,4172.8,4121.97,4115.68,2161066.0
469,SPX,20210519,4098.45,4115.68,4116.93,4061.41,4127.83,2403523.0
470,SPX,20210518,4165.94,4127.83,4169.15,4125.99,4163.29,2327083.0
